category,level,year,name,id,credits,professor,department,sub-category,language,location,remark
Subject for Liberal Education,Undergraduate,1,Readings in Classics 2,054.009 001,1,Lee  Jongmook,College of Humanities,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Mon.(17:00~18:50)', 'place': '1-206'}]", 
Subject for Liberal Education,Undergraduate,1,Readings in Classics 2,054.009 002,1,Sohn Chang Yong,College of Humanities,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Tue.(10:00~11:50)', 'place': '8-406'}]", 
Subject for Liberal Education,Undergraduate,1,Readings in Classics 2,054.009 004,1,Younguk Kim,College of Humanities,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Tue.(11:00~12:50)', 'place': '5-209'}]", 
Subject for Liberal Education,Undergraduate,1,Readings in Classics 2,054.009 007,1,Kang Sangjin,College of Humanities,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Wed.(16:00~17:50)', 'place': ' '}]", 
Subject for Liberal Education,Undergraduate,1,Readings in Classics 2,054.009 003,1,Jeong Sangjun,College of Humanities,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Mon.(17:00~18:50)', 'place': '4-201'}]", 
Subject for Liberal Education,Undergraduate,1,Readings in Classics 2,054.009 006,1,Yi Eunjeong,College of Humanities,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Mon.(16:00~17:50)', 'place': '14-202'}]", 
Subject for Liberal Education,Undergraduate,1,"Science, Technology and Society",054.024 001,3,Sung Hanah,Interdisciplinary Program in History and Philosophy of Science,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Mon.(15:30~18:20)', 'place': '43-1-402'}]", 
Subject for Liberal Education,Undergraduate,1,Patent and Technology Entrepreneurship,054.028 002,3,Yeonbae Kim,Interdisciplinary Program in Technology Management Economics and Policy Major,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Mon.(09:00~11:50)', 'place': '43-1-402'}]", 
Subject for Liberal Education,Undergraduate,1,Understanding and Practice of Physical Activity,054.030 001,2,Kim June-Hong,Department of Physical Education,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Tue.(15:00~15:50)', 'place': '71-1-206'}, {'time': 'Tue.(16:00~17:50)', 'place': ' '}]", 
Subject for Liberal Education,Undergraduate,1,"Science, Technology and Popular Culture",054.023 001,3,,Interdisciplinary Program in History and Philosophy of Science,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Mon.(14:00~15:15)', 'place': '43-1-402'}, {'time': 'Wed.(14:00~15:15)', 'place': '43-1-402'}]", 
Subject for Liberal Education,Undergraduate,1,Bicycle and Sports Science,054.032 002,2,Yim Sanghun,Department of Physical Education,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Fri.(09:00~09:50)', 'place': '71-1-206'}, {'time': 'Fri.(10:00~11:50)', 'place': ' '}]", 
Subject for Liberal Education,Undergraduate,1,Bicycle and Sports Science,054.032 001,2,Yim Sanghun,Department of Physical Education,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Thur.(09:00~09:50)', 'place': '71-1-206'}, {'time': 'Thur.(10:00~11:50)', 'place': ' '}]", 
Subject for Liberal Education,Undergraduate,1,Mountain and Life,054.031 002,2,Park Seungil,Department of Physical Education,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Fri.(15:00~15:50)', 'place': '71-1-308'}, {'time': 'Fri.(13:00~14:50)', 'place': ' '}]", 
Subject for Liberal Education,Undergraduate,1,Mountain and Life,054.031 001,2,Sung Je Hoon,Department of Physical Education,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Fri.(13:00~13:50)', 'place': '71-1-308'}, {'time': 'Fri.(14:00~15:50)', 'place': ' '}]", 
Subject for Liberal Education,Undergraduate,1,Creativity and Design,054.021 001,3,Chung Sung-Mo,Faculty of Liberal Education,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Fri.(09:00~10:50)', 'place': '49-301'}, {'time': 'Fri.(11:00~12:50)', 'place': '49-301'}]", 
Subject for Liberal Education,Undergraduate,1,Two Koreas,055.016 001,3,Kim Chong Min,Faculty of Liberal Education,General Education Electives - Korea in the World (Courses in English),English,"[{'time': 'Wed.(11:00~13:50)', 'place': '83-202'}]",ⓔ
Subject for Liberal Education,Undergraduate,1,Introduction to Korean Literature,055.007 001,3,Hong Seung Jin,Faculty of Liberal Education,General Education Electives - Korea in the World (Courses in English),English,"[{'time': 'Mon.(15:30~16:45)', 'place': '6-106'}, {'time': 'Wed.(15:30~16:45)', 'place': '6-106'}]",ⓔ
Subject for Liberal Education,Undergraduate,1,Life in Contemporary Korea,055.006 001,3,Jang Young Eun,Faculty of Liberal Education,General Education Electives - Korea in the World (Courses in English),English,"[{'time': 'Mon.(14:00~15:15)', 'place': '43-1-302'}, {'time': 'Wed.(14:00~15:15)', 'place': '43-1-302'}]",ⓔ
Subject for Liberal Education,Undergraduate,1,Modern Korean Fiction,055.005 001,3,Jang Young Eun,Faculty of Liberal Education,General Education Electives - Korea in the World (Courses in English),English,"[{'time': 'Mon.(12:30~13:45)', 'place': '43-1-302'}, {'time': 'Wed.(12:30~13:45)', 'place': '43-1-302'}]",ⓔ
Subject for Liberal Education,Undergraduate,1,Korean Language and Culture,055.003 001,3,La Shure Charles,Faculty of Liberal Education,General Education Electives - Korea in the World (Courses in English),English,"[{'time': 'Mon.(14:00~15:15)', 'place': '3-102'}, {'time': 'Wed.(14:00~15:15)', 'place': '3-102'}]",ⓔ
Subject for Liberal Education,Undergraduate,1,Music of the World,055.020 001,3,Yates Luanna,Faculty of Liberal Education,General Education Electives - Korea in the World (Courses in English),English,"[{'time': 'Mon.(12:00~14:50)', 'place': '55-102'}]",ⓔ
Subject for Liberal Education,Undergraduate,1,Literati Culture in East Asia,055.004 001,3,Olivia Anna Rovsing Milburn,Faculty of Liberal Education,General Education Electives - Korea in the World (Courses in English),English,"[{'time': 'Tue.(15:30~18:20)', 'place': '3-103'}]",ⓔ
Subject for Liberal Education,Undergraduate,1,Interpreting Cities,054.034 001,3,Jun Sangin,Environmental Planning Major,General Education Electives - Creativity and Convergence,Korean,"[{'time': 'Thur.(14:00~16:50)', 'place': '82-306'}]", 
Subject for Liberal Education,Undergraduate,1,Korean Law,055.019 001,3,Lee Keun-Gwan,Faculty of Liberal Education,General Education Electives - Korea in the World (Courses in English),English,"[{'time': 'Fri.(09:30~12:20)', 'place': '15-1-302'}]",ⓔ
Elective Subject for Major,Undergraduate,2,Understanding Chinese Character,100.105A 001,3,Moon Joon Hye,Department of Chinese Language and Literature,,Korean,"[{'time': 'Mon.(11:00~12:15)', 'place': '4-302'}, {'time': 'Wed.(11:00~12:15)', 'place': '4-302'}]", 
Elective Subject for Major,Undergraduate,1,In Search of the World of Chinese Classical Literature,100.108 001,3,Ryu Junpil,Department of Chinese Language and Literature,,Korean,"[{'time': 'Tue.(14:00~15:15)', 'place': '9-119'}, {'time': 'Thur.(14:00~15:15)', 'place': '9-119'}]", 
Subject for Liberal Education,Undergraduate,1,Introduction to Korean Musical Culture,055.021 001,3,Yates Luanna,Faculty of Liberal Education,General Education Electives - Korea in the World (Courses in English),English,"[{'time': 'Tue.(10:00~12:50)', 'place': '54-212'}]",ⓔ
Elective Subject for Major,Undergraduate,1,Masterpieces of Modern Chinese Literature,100.107 001,3,Kim Jingong,Department of Chinese Language and Literature,,Korean,"[{'time': 'Tue.(11:00~12:15)', 'place': '7-102'}, {'time': 'Thur.(11:00~12:15)', 'place': '7-102'}]", 
Elective Subject for Major,Undergraduate,1,The World of English Masterpieces,100.112 001,3,Kim Jungha,Department of English Language and Literature,,Korean,"[{'time': 'Tue.(11:00~12:15)', 'place': '4-309'}, {'time': 'Thur.(11:00~12:15)', 'place': '4-309'}]", 
Elective Subject for Major,Undergraduate,1,Introduction to Korean Linguistics,100.100 001,3,Kim  Seong-Kyu,Department of Korean Language and Literature,,Korean,"[{'time': 'Mon.(12:30~13:45)', 'place': '1-102'}, {'time': 'Wed.(12:30~13:45)', 'place': '1-102'}]", 
Elective Subject for Major,Undergraduate,1,Introduction to Study of Korean Literature,100.102 001,3,Kim Dae-Joong,Department of Korean Language and Literature,,Korean,"[{'time': 'Mon.(17:00~18:15)', 'place': '3-114'}, {'time': 'Wed.(17:00~18:15)', 'place': '3-114'}]", 
Elective Subject for Major,Undergraduate,1,French in a World Perspective,100.113 001,3,Choi Yun Son,Department of French Language and Literature,,Korean,"[{'time': 'Mon.(11:00~12:15)', 'place': '1-209'}, {'time': 'Wed.(11:00~12:15)', 'place': '1-209'}]", 
Elective Subject for Major,Undergraduate,1,Introduction to English Linguistics,100.109 001,3,Sohn Chang Yong,Department of English Language and Literature,,Korean,"[{'time': 'Mon.(11:00~12:15)', 'place': '6-103'}, {'time': 'Wed.(11:00~12:15)', 'place': '6-103'}]", 
Elective Subject for Major,Undergraduate,1,Trends in Russian Literature and Thoughts,100.122A 001,3,Choi Jin Seok,Department of Russian Language and Literature,,Korean,"[{'time': 'Wed.(15:30~18:20)', 'place': '2-207'}]", 
Elective Subject for Major,Undergraduate,2,Leading Thinkers in Korean History,100.135 001,3,Oh Soochang,Korean History Major,,Korean,"[{'time': 'Thur.(15:30~18:20)', 'place': '14-203'}]", 
Elective Subject for Major,Undergraduate,1,Russian Language in the World,100.121 001,3,Song Eunji,Department of Russian Language and Literature,,Korean,"[{'time': 'Mon.(14:00~15:15)', 'place': '2-207'}, {'time': 'Wed.(14:00~15:15)', 'place': '2-207'}]", 
Elective Subject for Major,Undergraduate,1,World of Spanish Language,100.127 001,3,Son Jyeun,Department of Hispanic Language and Literature,,Korean,"[{'time': 'Mon.(15:30~16:45)', 'place': '7-101'}, {'time': 'Wed.(15:30~16:45)', 'place': '7-101'}]", 
Elective Subject for Major,Undergraduate,1,Understanding Spanish Cinema,100.126A 001,3,Yim Ho Joon,Department of Hispanic Language and Literature,,Korean,"[{'time': 'Mon.(11:00~12:15)', 'place': '1-103'}, {'time': 'Wed.(11:00~12:15)', 'place': '1-103'}]", 
Elective Subject for Major,Undergraduate,1,Literature and Arts in the German Speaking World,100.120A 001,3,Myoung Jeong,Department of German Language and Literature,,Korean,"[{'time': 'Mon.(15:30~16:45)', 'place': '7-201'}, {'time': 'Wed.(15:30~16:45)', 'place': '7-201'}]", 
Elective Subject for Major,Undergraduate,1,Language and Computer,100.130 002,3,Park Suzi,Department of Linguistics,,Korean,"[{'time': 'Mon.(11:00~12:15)', 'place': '3-104'}, {'time': 'Wed.(11:00~12:15)', 'place': '3-104'}]", 
Elective Subject for Major,Undergraduate,1,Languages of the World,100.132 001,3,Choe Gyeyeong,Department of Linguistics,,Korean,"[{'time': 'Tue.(12:30~13:45)', 'place': '1-101'}, {'time': 'Thur.(12:30~13:45)', 'place': '1-101'}]", 
Elective Subject for Major,Undergraduate,1,Language and Computer,100.130 001,3,Park Suzi,Department of Linguistics,,Korean,"[{'time': 'Mon.(12:30~13:45)', 'place': '8-101'}, {'time': 'Wed.(12:30~13:45)', 'place': '8-101'}]", 
Elective Subject for Major,Undergraduate,1,Understanding Indian Civilization,100.168 001,3,Park Kyumpyo,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Tue.(14:00~16:50)', 'place': '5-205'}]", 
Elective Subject for Major,Undergraduate,1,History of Mongol World Empire,100.139A 001,3,Kim Seokhwan,Department of Asian History,,Korean,"[{'time': 'Tue.(14:00~16:50)', 'place': '14-208'}]", 
Elective Subject for Major,Undergraduate,2,Religion and Religious Studies,100.152 001,3,Jeong Hwa Choi,Department of Religious Studies,,Korean,"[{'time': 'Mon.(12:30~13:45)', 'place': '6-106'}, {'time': 'Wed.(12:30~13:45)', 'place': '6-106'}]", 
Elective Subject for Major,Undergraduate,1,Introduction to Christianity,100.151 001,3,Eunsil Son,Department of Religious Studies,,Korean,"[{'time': 'Tue.(15:30~18:20)', 'place': '7-218'}]", 
Elective Subject for Major,Undergraduate,2,History of life Style in Korea,100.136 001,3,Kim Sujin,Korean History Major,,Korean,"[{'time': 'Mon.(16:00~18:50)', 'place': '14-203'}]", 
Elective Subject for Major,Undergraduate,1,Foundations of Archaeology,100.158 001,3,Lee June-Jeong,Archaeology Major,,Korean,"[{'time': 'Mon.(15:30~18:20)', 'place': '7-202'}]", 
Elective Subject for Major,Undergraduate,1,Indian and Buddhist Philosophy,100.146A 001,3,Ahn Sungdoo,Department of Philosophy,,Korean,"[{'time': 'Mon.(11:00~12:15)', 'place': '6-106'}, {'time': 'Wed.(11:00~12:15)', 'place': '6-106'}]", 
Elective Subject for Major,Undergraduate,2,Art History and Visual Culture,100.160 001,3,Shin Junhyoung,Art History Major,,Korean,"[{'time': 'Fri.(14:00~16:50)', 'place': '5-101-1'}]", 
Elective Subject for Major,Undergraduate,2,Myth and Literature in Ancient West Asia,1003.233 001,3,Sung Hwan Yoo,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Tue.(11:00~12:15)', 'place': '5-212'}, {'time': 'Thur.(11:00~12:15)', 'place': '5-212'}]", 
Elective Subject for Major,Undergraduate,3,Southeast Asian Literatures,1003.254 001,3,Woonkyung Yeo,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Wed.(14:00~16:50)', 'place': '7-109'}]", 
Elective Subject for Major,Undergraduate,1,Intensive Japanese 2,1003.272 001,3,Han Joung-Youn,Japanese Language and Civilization Major,,Korean,"[{'time': 'Mon.(12:30~13:45)', 'place': '7-307'}, {'time': 'Wed.(12:30~13:45)', 'place': '7-307'}, {'time': 'Wed.(14:00~14:50)', 'place': '6-108'}]", 
Elective Subject for Major,Undergraduate,1,Understanding Southeast Asian Civilization,100.170 001,3,Seoyeon Choi,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Fri.(10:00~12:50)', 'place': '5-107-2'}]", 
Elective Subject for Major,Undergraduate,2,Intensive Persian 2,1003.235 001,3,Gyu Seob Shin,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Mon.(11:00~12:15)', 'place': '5-204'}, {'time': 'Fri.(11:00~12:15)', 'place': '5-204'}, {'time': 'Fri.(10:30~11:20)', 'place': '5-204'}]", 
Elective Subject for Major,Undergraduate,2,Reading Japanese of Japanese Texts 2,1003.276 001,3,Han Joung-Youn,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Mon.(14:00~16:50)', 'place': '6-108'}]", 
Elective Subject for Major,Undergraduate,2,Art and Culture in Traditional Japan,1003.274 001,3,Saito Ayumi,Department of Asian Languages and Civilizations,,Japanese,"[{'time': 'Thur.(14:00~16:50)', 'place': '5-205'}]", 
Elective Subject for Major,Undergraduate,2,Understanding Indian Literature,1003.211 001,3,Lee Dongwon,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Wed.(11:00~13:50)', 'place': '5-101-1'}]", 
Elective Subject for Major,Undergraduate,2,Intensive Thai 2,1003.256 001,3,Lee Ji Eun,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Wed.(11:00~13:50)', 'place': '6-108'}]", 
Elective Subject for Major,Undergraduate,4,Readings in Sanskrit 2,1003.412 001,3,Ryoo Hyunjung,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Wed.(14:00~16:50)', 'place': '7-307'}]", 
Elective Subject for Major,Undergraduate,3,Perspectives in the Study of Asian Civilizations,1003.421 001,3,Woonkyung Yeo,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Fri.(14:00~16:50)', 'place': '5-211'}]", 
Elective Subject for Major,Undergraduate,2,History of the Interaction of Civilizations in Asia,1003.321 001,3,Hawon Ku,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Mon.(09:30~10:45)', 'place': '5-211'}, {'time': 'Wed.(09:30~10:45)', 'place': '5-211'}]", 
Elective Subject for Major,Undergraduate,3,Southeast Asian Diasporas Past and Present,1003.352 001,3,,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Mon.(14:00~16:50)', 'place': '8-304'}]", 
Elective Subject for Major,Undergraduate,3,Art and Culture in Modern and Contemporary India,1003.314 001,3,Hawon Ku,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Tue.(10:00~12:50)', 'place': '6-108'}]", 
Elective Subject for Major,Undergraduate,3,Contemporary Japanese Novel,1003.375 001,3,,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Tue.(12:30~13:45)', 'place': '4-309'}, {'time': 'Thur.(12:30~13:45)', 'place': '4-309'}]", 
Elective Subject for Major,Undergraduate,4,Readings in Vietnamese 2,1003.455 001,3,Lee Hyeon Jeong,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Tue.(11:00~12:15)', 'place': '5-204'}, {'time': 'Thur.(11:00~12:15)', 'place': '5-204'}]", 
Elective Subject for Major,Undergraduate,4,Readings in Persian 2,1003.434 001,3,Gyu Seob Shin,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Mon.(15:30~16:45)', 'place': '5-204'}, {'time': 'Wed.(11:00~12:15)', 'place': '5-204'}]", 
Elective Subject for Major,Undergraduate,3,Readings in Malay-Indonesian 2,1003.354 001,3,Leejuyoung,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Tue.(17:00~18:15)', 'place': '5-204'}, {'time': 'Thur.(17:00~18:15)', 'place': '5-204'}]", 
Elective Subject for Major,Undergraduate,3,Modern Korean Drama,101.218 001,3,Yang Seung Gook,Department of Korean Language and Literature,,Korean,"[{'time': 'Thur.(15:30~18:20)', 'place': '3-103'}]", 
Elective Subject for Major,Undergraduate,4,Readings in Classical Korean Prose,101.223 001,3,Choe O Chin,Department of Korean Language and Literature,,Korean,"[{'time': 'Fri.(12:00~14:50)', 'place': '3-108'}]", 
Requisite Subject for Major,Undergraduate,3,History of Modern Korean Literature,101.222 001,3,Kim Jonguck,Department of Korean Language and Literature,,Korean,"[{'time': 'Tue.(12:30~13:45)', 'place': '1-103'}, {'time': 'Thur.(12:30~13:45)', 'place': '1-103'}]", 
Elective Subject for Major,Undergraduate,3,Classical Korean Novel,101.308 001,3,Chae Yunmi,Department of Korean Language and Literature,,Korean,"[{'time': 'Fri.(15:00~17:50)', 'place': '3-114'}]", 
Elective Subject for Major,Undergraduate,2,Korean Modern Novel,101.311A 001,3,Son Youkyung,Department of Korean Language and Literature,,Korean,"[{'time': 'Tue.(09:30~10:45)', 'place': '1-101'}, {'time': 'Thur.(09:30~10:45)', 'place': '1-101'}]", 
Elective Subject for Major,Undergraduate,3,Classical Korean Poetry,101.316 001,3,Seo Cheolwon,Department of Korean Language and Literature,,Korean,"[{'time': 'Mon.(14:00~15:15)', 'place': '1-102'}, {'time': 'Wed.(14:00~15:15)', 'place': '1-102'}]", 
Elective Subject for Major,Undergraduate,3,Korean Phonology,101.212A 001,3,Lee Jin-Ho,Department of Korean Language and Literature,,Korean,"[{'time': 'Mon.(11:00~12:15)', 'place': '7-308'}, {'time': 'Wed.(11:00~12:15)', 'place': '7-308'}]", 
Elective Subject for Major,Undergraduate,4,Topics in Japanese Civilization,1003.473 001,3,,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Tue.(14:00~16:50)', 'place': '7-307'}]", 
Elective Subject for Major,Graduate,0,Studies in Korean Oral Literature,101.677A 001,3,Cho  Hyunsoul,Department of Korean Language and Literature,,Korean,"[{'time': 'Wed.(15:30~18:20)', 'place': '1-201'}]", 
Elective Subject for Major,Graduate,0,Studies in Korean Modern Novel,101.786A 001,3,Son Youkyung,Department of Korean Language and Literature,,Korean,"[{'time': 'Mon.(10:00~12:50)', 'place': '1-201'}]", 
Elective Subject for Major,Graduate,0,Topics in Korean Phonology,101.506A 001,3,Kim  Seong-Kyu,Department of Korean Language and Literature,,Korean,"[{'time': 'Mon.(15:00~17:50)', 'place': '1-302'}]", 
Elective Subject for Major,Graduate,0,Topics in Korean Modern Literature in Historical Context,101.679B 001,3,Bang Min Ho,Department of Korean Language and Literature,,Korean,"[{'time': 'Tue.(15:00~17:50)', 'place': '1-201'}]", 
Elective Subject for Major,Graduate,0,Studies in Sino-Korean Prose,101.567 001,3,,Department of Korean Language and Literature,,Korean,"[{'time': 'Tue.(15:00~17:50)', 'place': '1-206'}]", 
Elective Subject for Major,Graduate,0,Topics in Korean Modern Poets,101.565A 001,3,,Department of Korean Language and Literature,,Korean,"[{'time': 'Mon.(14:00~16:50)', 'place': '1-201'}]", 
Elective Subject for Major,Undergraduate,4,Korean Dialectology,101.401A 001,3,Jung Seung-Chul,Department of Korean Language and Literature,,Korean,"[{'time': 'Tue.(14:00~15:15)', 'place': '1-101'}, {'time': 'Thur.(14:00~15:15)', 'place': '1-101'}]", 
Elective Subject for Major,Graduate,0,Studies in the History of Korean Modern  Poetry,101.765A 001,3,Kim Youjoong,Department of Korean Language and Literature,,Korean,"[{'time': 'Wed.(11:00~13:50)', 'place': '1-201'}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 007,3,Jung Seung-Chul,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 004,3,Kim  Seong-Kyu,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 001,3,Lee  Hyeonhie,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 002,3,Yang Seung Gook,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 003,3,Lee  Jongmook,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 006,3,Cho  Hyunsoul,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 005,3,Jun Youngchul,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 008,3,Kim Youjoong,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 009,3,Bang Min Ho,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 017,3,La Shure Charles,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 015,3,Mun Suk-Yeong,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 013,3,Hwang Seon-Yeop,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 010,3,Kim Jonguck,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 018,3,Son Youkyung,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 016,3,Lee Jin-Ho,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 012,3,Park Jinho,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 011,3,Cho Haesug,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 014,3,Kim Hyun,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,2,Chinese Novels and Culture,102.223 001,3,Jung Jinsun,Department of Chinese Language and Literature,,Korean,"[{'time': 'Mon.(09:30~10:45)', 'place': '1-101'}, {'time': 'Wed.(09:30~10:45)', 'place': '1-101'}]", 
Elective Subject for Major,Undergraduate,2,Readings in Classical Chinese 2,102.204A 001,3,Kim  Weolhoi,Department of Chinese Language and Literature,,Korean,"[{'time': 'Tue.(12:30~13:45)', 'place': '8-302'}, {'time': 'Thur.(12:30~13:45)', 'place': '8-302'}]", 
Elective Subject for Major,Undergraduate,2,Readings in Traditional Chinese Poetry 2,102.216 001,3,,Department of Chinese Language and Literature,,Korean,"[{'time': 'Tue.(15:30~16:45)', 'place': '3-102'}, {'time': 'Thur.(15:30~16:45)', 'place': '3-102'}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 020,3,Kim Dae-Joong,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 019,3,Seo Cheolwon,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 021,3,,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 022,3,,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 023,3,,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Reading and Research,Graduate,0,Reading and Research,101.803 024,3,,Department of Korean Language and Literature,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Implication of Chinese Traditional Culture and The Contemporary China,102.327 001,3,Olivia Anna Rovsing Milburn,Department of Chinese Language and Literature,,English,"[{'time': 'Mon.(11:00~12:15)', 'place': '4-309'}, {'time': 'Wed.(11:00~12:15)', 'place': '4-309'}]",ⓔ
Elective Subject for Major,Undergraduate,4,Topics in Socio-cultural Aspects of China,102.422 001,3,Kim Jingong,Department of Chinese Language and Literature,,Korean,"[{'time': 'Fri.(15:30~18:20)', 'place': '3-102'}]", 
Elective Subject for Major,Undergraduate,3,Readings in Traditional Chinese Prose 2,102.326 001,3,Ryu Junpil,Department of Chinese Language and Literature,,Korean,"[{'time': 'Tue.(11:00~12:15)', 'place': '1-101'}, {'time': 'Thur.(11:00~12:15)', 'place': '1-101'}]", 
Elective Subject for Major,Undergraduate,3,Readings in Modern Chinese Literature,102.318A 001,3,Jeon Hyungjun,Department of Chinese Language and Literature,,Korean,"[{'time': 'Mon.(15:30~16:45)', 'place': '1-204'}, {'time': 'Wed.(15:30~16:45)', 'place': '1-204'}]", 
Elective Subject for Major,Undergraduate,4,Performing Arts of China,102.415A 001,3,Lee Hyun Jeong,Department of Chinese Language and Literature,,Korean,"[{'time': 'Mon.(12:30~13:45)', 'place': '5-212'}, {'time': 'Wed.(12:30~13:45)', 'place': '5-212'}]", 
Elective Subject for Major,Undergraduate,4,Readings in Shijing and ChuCi,102.421 001,3,Lim Dohyun,Department of Chinese Language and Literature,,Korean,"[{'time': 'Mon.(15:30~16:45)', 'place': '3-108'}, {'time': 'Wed.(15:30~16:45)', 'place': '3-108'}]", 
Requisite Subject for Major,Undergraduate,3,History of Chinese Literature 2,102.324 001,3,Lee Chang Sook,Department of Chinese Language and Literature,,Korean,"[{'time': 'Mon.(14:00~15:15)', 'place': '7-218'}, {'time': 'Wed.(14:00~15:15)', 'place': '7-218'}]", 
Elective Subject for Major,Graduate,0,Seminar in Modern Chinese Literature,102.646 001,3,Jeon Hyungjun,Department of Chinese Language and Literature,,Korean,"[{'time': 'Thur.(16:00~18:50)', 'place': '1-402'}]", 
Elective Subject for Major,Graduate,0,Topics on Chinese Texts,102.685 001,3,Olivia Anna Rovsing Milburn,Department of Chinese Language and Literature,,English,"[{'time': 'Mon.(13:00~15:50)', 'place': '1-402'}]",ⓔ
Elective Subject for Major,Graduate,0,Studies in Philosophy of Hundred Schools,102.660 001,3,Kim  Weolhoi,Department of Chinese Language and Literature,,Korean,"[{'time': 'Tue.(16:00~18:50)', 'place': '1-402'}]", 
